,Attr1,Attr2,Attr3,Attr6,Attr9,Attr12,Attr13,Attr17,Attr19,Attr21,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr30,Attr34,Attr35,Attr36,Attr38,Attr39,Attr40,Attr41,Attr45,Attr46,Attr48,Attr49,Attr50,Attr52,Attr53,Attr54,Attr56,Attr57,Attr59,class
42,0.033901,0.24045,-0.089401,0.026188,1.0732,0.22485,0.13633,4.1589,0.064195,1.2929,0.049271,0.03543,0.58716,0.34741,0.75545,-0.10012,0.33811,0.20142,0.048431,0.69802,0.63116,0.070389,0.047609,0.080611,5.3373,0.51256,-0.001204,-0.001749,0.44517,0.30642,0.65754,0.70682,0.068244,0.057737,0.07495,0
49,0.17203,0.56315,0.30834,0.54039,1.1308,0.40125,0.12344,1.7757,0.11041,1.1313,0.08492,0.68577,0.41366,0.35235,1.3226,2.2975,0.25991,0.42074,0.23694,2.0503,0.41935,0.11696,0.071723,0.070309,0.59716,1.0363,0.21055,0.10393,1.5374,0.31118,3.0823,3.1247,0.11571,0.41588,0.01376,0
52,-0.00175,0.50246,0.011944,0.031605,1.05,0.000241,0.005836,1.9902,0.000288,1.226,-0.004161,0.053671,0.49535,0.001161,0.1071,0.024528,0.20546,0.008537,0.004289,0.44782,0.49669,0.0102,0.918,2.4944,-1.968,1.0221,0.001956,0.004652,1.0211,1.2513,1.0173,1.02,0.047619,-0.003533,0.0027,0
54,0.14813,0.50448,0.38905,0.19262,1.0876,0.49291,0.09999,1.9822,0.096598,0.53504,0.080863,0.28439,0.49499,0.30594,1.0303,1.5441,0.1097,0.34397,0.17353,1.874,0.64049,0.094728,0.85711,0.092276,1.3053,1.7676,0.16731,0.091336,1.4828,0.21315,1.9646,2.5421,0.080578,0.29925,0.29393,0
55,0.21043,0.31931,0.28987,0.22662,1.0384,0.82549,0.10215,3.1318,0.092942,2.186,0.07818,0.26635,0.58916,0.73659,0.93616,0.71207,0.071111,0.75993,0.24265,2.898,0.60542,0.090151,0.53101,0.039256,3.1793,1.7381,0.21788,0.080949,1.8569,0.11692,1.4473,1.4872,0.037013,0.35716,0.027593,0
56,0.19437,0.49453,0.14058,0.23399,1.1112,0.57608,0.23361,2.0221,0.22169,0.94494,0.17176,0.31098,0.50547,0.42031,2.5759,0.33157,0.36542,0.53043,0.26231,1.3605,0.56455,0.23181,0.18936,0.05895,13.185,1.289,0.24882,0.21989,1.1648,0.42762,1.1922,1.3316,0.1001,0.38453,0.11688,0
71,0.06773,0.19032,0.25875,0.18519,1.0611,0.47002,0.077849,5.2543,0.05089,1.1111,0.039336,0.23996,0.75658,0.59977,0.58054,0.46637,0.051879,0.49498,0.094205,1.736,0.76047,0.054712,0.55469,0.044496,0.46113,1.6001,0.047786,0.027753,2.3391,0.11489,1.3636,1.3707,0.057568,0.089521,0.005149,0
73,0.064812,0.39736,0.20917,0.11789,1.0908,0.20691,0.11061,2.5166,0.060523,1.2694,0.048529,0.14072,0.48952,0.33145,0.70333,0.52269,0.27254,0.21672,0.086115,1.3663,0.49623,0.06448,0.089488,0.085381,0.21952,0.77965,0.019223,0.014394,1.5095,0.31906,1.2233,1.24,0.08322,0.1324,0.013698,0
77,0.086734,0.35868,0.40254,0.08568,0.95643,0.39967,0.14114,2.788,0.11386,1.1223,0.090685,0.0,0.63107,0.31457,3.2168,1.2386,0.37502,2.2653,0.15464,0.95643,0.72754,0.16169,1.348,0.079197,4.0597,2.399,0.098771,0.10327,1.8819,0.33534,1.9733,2.2386,0.16169,0.0,0.13443,0
80,0.087366,0.33897,0.29984,0.31729,1.1244,0.39173,0.12331,2.9501,0.095948,1.154,0.078574,0.39141,0.6301,0.34749,1.2263,0.70087,0.2939,0.35774,0.12126,1.1188,0.69673,0.10906,0.088304,0.073469,0.28464,0.97396,0.09084,0.081698,1.688,0.27541,1.4728,1.6286,0.11066,0.13865,0.10575,0
83,0.077604,0.30417,0.39144,0.086884,1.0457,0.39207,0.1218,3.2876,0.096526,1.1814,0.074209,0.0,0.6069,0.34202,14.203,1.1149,0.29086,2.2538,0.38315,1.0457,0.74207,0.36639,0.56107,0.07991,0.46218,1.8682,0.074027,0.070789,2.1333,0.37556,1.9805,2.1135,0.36639,0.0,0.067178,0
84,0.24737,0.44295,-0.013942,0.47229,1.1054,0.7553,0.16595,2.2576,0.1644,2.3331,0.14807,0.49189,0.55158,0.56434,1.0512,-0.021438,0.23503,0.35869,0.15888,1.8073,0.6309,0.095101,0.14056,0.09018,1.939,0.61081,0.15627,0.093542,0.78945,0.2406,0.84817,0.97014,0.095351,0.44847,0.14381,0
85,0.082955,0.59173,0.27833,0.1953,1.0775,0.20144,0.073798,1.69,0.063512,1.2362,0.049621,0.2505,0.32485,0.16925,0.70848,1.4304,0.34415,0.18576,0.10992,1.7014,0.38949,0.065751,0.032341,0.15304,0.3319,1.0539,0.092724,0.055465,1.3611,0.33973,1.6694,2.0016,0.071945,0.25537,0.199,0
88,0.026461,0.64655,0.21032,0.078304,1.037,0.07446,0.031762,1.5467,0.015722,1.4517,0.010617,0.1132,0.29252,0.10276,0.28901,0.79842,0.25533,0.10743,0.06946,2.5055,0.41281,0.027869,0.022706,0.19423,0.086693,0.81967,0.029481,0.011828,1.1393,0.21897,1.1105,1.5671,0.035726,0.090458,0.41121,0
90,0.007744,0.75664,-0.015723,0.000978,1.0177,0.020016,0.039157,1.3216,0.009244,1.2562,0.007956,0.001754,0.24336,0.048714,0.13551,-0.027769,0.77502,0.017129,0.012961,0.99828,0.55049,0.013316,0.010668,0.59121,0.04047,0.53936,-0.016155,-0.016597,0.57331,0.47001,0.4298,0.97223,0.017407,0.031819,1.262,0
92,0.39616,0.18959,0.65827,0.56657,1.0462,0.20429,0.58343,5.2747,0.51499,0.98474,0.42746,0.65632,0.79415,2.4242,5.4257,0.25904499999999997,0.1663,2.5352,0.48064,1.3848,0.82267,0.51862,0.25393,0.011456,1.8134,3.7306,0.41721,0.45018,4.3217,0.18182,4.3956,4.5535,0.044146,0.49885,0.035914,0
101,-0.030391,1.5015,-0.32972,-0.30101,0.98745,-0.026512,-0.002745,0.66602,-0.014242,1.5237,-0.014242,-0.30101,-0.65128,-0.003901,-0.14253,-1.7978,0.66943,-0.020514,-0.030801,2.1825,-0.29614,-0.014434,0.063687,-7.8773,-0.11342,0.47861,-0.055335,-0.025931,0.54387,0.53046,-3.5511,-1.6147,-0.012706,0.046664,-0.54529,0
111,0.10535,0.56658,0.20319,0.091326,1.0683,0.25899,0.063977,1.765,0.049966,1.3978,0.036385,0.15127,0.43224,0.25755,0.58492,0.85309,0.17991,0.27982,0.15854,2.9675,0.44019,0.054754,0.092124,0.093553,0.53052,1.0083,0.11797,0.040742,1.3446,0.2061,1.8147,1.8481,0.063919,0.24373,0.018399,0
112,0.018787,0.70616,0.18278,0.055006,0.94983,0.063318,0.04633,1.4161,0.022698,1.4537,0.015602,0.076533,0.2423,0.066902,0.31125,0.47407,0.5684,0.055879,0.039459,1.3285,0.5168,0.032769,0.056233,0.34184,0.074779,0.84143,0.011003,0.009137,0.87011,0.34049,0.62843,1.3404,-0.052822,0.077536,1.1329,0
119,0.009032,0.30479,0.18627,0.00022,1.0092,0.088427,0.045338,3.2809,0.01235,0.98399,0.006835,0.012115,0.6119,0.17264,0.069022,0.29605,0.22331,0.029649,0.009037,1.3469,0.73215,0.006839,0.056269,0.19041,0.043405,0.88184,-0.034552,-0.026149,1.2166,0.14095,0.97253,1.1637,0.009134,0.01476,0.19652,0
123,0.14181,0.5204,-0.14286,0.3333,0.97626,0.33578,0.2182,1.9216,0.17727,0.71693,0.14526,0.0,0.47511,0.34928,45.615,-0.22767,0.52645,1.5548,0.16712,0.97626,0.48462,0.17119,0.19488,0.081914,1.886,0.57692,0.13185,0.13505,0.71584,0.63695,0.76433,0.77233,0.17119,0.29568,0.010465,0
125,0.092174,0.79413,0.12557,0.10701,1.0174,0.1674,0.072858,1.2592,0.061431,1.544,0.049664,0.13521,0.20124,0.14277,0.72888,0.64952,0.4235,0.16743,0.13296,1.9691,0.31426,0.071641,0.012446,0.16935,0.30123,0.73511,0.11176,0.060214,1.0158,0.37338,1.0409,1.6256,0.01712,0.45804,0.56165,0
135,0.032386,0.29487,0.4042,0.090761,1.0457,0.15526,0.11344,3.3913,0.042417,0.91292,0.037777,0.10549,0.70513,0.31632,0.12885,1.1179,0.32379,0.035821,0.010563,0.89898,0.76578,0.012321,0.22003,0.13568,0.19076,2.0009,-0.050325,-0.058701,2.1651,0.2857,1.9501,2.1179,0.043747,0.04593,0.08602,0
138,0.063017,0.37552,0.37439,0.0,1.0964,0.42604,0.093542,2.663,0.071744,1.2668,0.057477,0.0,0.61382,0.23146,6.808,0.84901,0.32237,2.1194,0.31774,1.0964,0.80585,0.28981,0.13295,0.10897,0.23594,1.5812,0.067067,0.061172,1.4887,0.23199,1.4161,1.8274,0.28981,0.10091,0.29042,0
143,0.075483,0.43484,-0.083547,-0.0272,1.0095,0.2201,0.13104,2.2997,0.08905,1.2393,0.087551,-0.025907,0.5082,0.25684,1.1753,-0.11371,0.4867,0.23084,0.10038,0.99679,0.59421,0.11642,0.05256,0.10467,0.50648,0.33324,0.064175,0.074435,0.61006,0.40842,0.69169,0.80876,0.009375,0.14853,0.16925,0
153,0.024796,0.63019,-0.013257,0.094644,1.0082,0.031348,0.010944,1.5868,0.005363,1.0253,0.006747,0.063678,0.35441,0.071898,0.072164,-0.034479,0.16901,0.041745,0.026307,3.6812,0.35583,0.007158,0.017129,0.44252,0.11896,0.64742,0.005794,0.001577,0.97672,0.17248,0.92179,0.92547,0.008125,0.069965,0.003997,0
154,-0.02059,0.11585,0.47944,-0.17832,0.98021,-0.18434,0.011753,8.6319,-0.01825,1.052,-0.018302,-0.1782,0.88313,0.11363,-0.15554,1.1717,0.017031,-0.15409,-0.017851,1.1376,0.88761,-0.015868,1.2339,0.23951,-0.05443,1.9083,-0.051604,-0.045871,5.0998,0.097043,2.1583,2.1692,-0.020189,-0.023314,0.005067,0
157,0.055377,0.44661,0.2891,0.3197,1.0487,0.27845,0.068267,2.2391,0.036358,0.88038,0.029169,0.39882,0.54123,0.25964,0.41114,0.62439,0.22791,0.16665,0.074427,1.9694,0.73995,0.039203,0.063669,0.10876,0.14729,0.64954,0.013849,0.007295,1.2024,0.13694,1.1689,1.5981,0.04648,0.10232,0.36716,0
158,0.1226,0.34656,0.47659,0.15861,1.113,0.34694,0.093622,2.8855,0.080303,1.4067,0.082775,0.1557,0.63942,0.4107,0.91364,0.25904499999999997,0.21005,0.35083,0.12158,1.5015,0.64314,0.082085,0.10591,0.08063,0.39802,1.4917,0.10185,0.068767,2.3645,0.25763,3.541,3.5617,0.10157,0.19174,0.005826,0
167,0.076195,0.54584,0.11546,0.10633,1.016,0.15493,0.091053,1.832,0.081611,0.75851,0.090132,0.10012,0.45416,0.15422,0.34296,0.26288,0.54105,0.052281,0.028537,0.93289,0.55469,0.033757,0.59616,0.49139,0.79945,1.0453,0.020555,0.024314,1.0274,0.53517,1.034,1.2629,0.015716,0.16777,0.22137,0
168,0.078471,0.84636,0.23804,0.13627,1.0616,0.14892,0.04762,1.1815,0.034236,1.1537,0.047533,0.11928,0.15364,0.11882,0.64688,0.62243,0.47896,0.11886,0.1006,1.6581,0.62048,0.060934,0.14688,0.22679,0.61994,1.2937,0.078499,0.04755,0.72967,0.24405,0.40174,1.6224,0.058029,0.51075,0.1599,0
169,0.026435,0.5767,0.31842,0.037409,1.0121,0.079734,0.023896,1.734,0.012292,1.2874,0.008995,0.054345,0.39553,0.10497,0.1149,1.3935,0.18988,0.057859,0.033367,2.9621,0.51916,0.011353,0.047635,0.28101,0.054088,0.62409,-0.000736,-0.000251,1.3378,0.15602,1.7309,2.272,0.011913,0.066833,0.31256,0
170,0.15775,0.15845,0.44198,0.42192,1.1809,1.6274,0.19993,6.3113,0.15793,1.1298,0.12758,0.52446,0.83475,1.3234,1.9202,1.009,0.021571,1.269,0.20107,1.2647,0.8732,0.16261,1.1239,0.020589,0.69764,2.7988,0.14913,0.1206,3.5468,0.1146,1.9057,1.9935,0.15319,0.18898,0.046061,0
172,-0.008594,0.62404,0.20865,0.16638,1.0526,-0.013805,0.000807,1.6025,-0.013187,0.37556,-0.013187,0.16638,0.30248,0.000842,0.45343,1.2357,0.94823,0.044986,0.028073,0.6554,0.30403,0.043077,0.017178,0.55162,-0.045862,1.0342,0.018954,0.029084,1.3319,1.0054,1.7914,1.8005,0.049976,-0.028411,0.005119,0
173,-0.01771,0.64132,0.10461,-0.094964,0.99926,-0.047011,0.040803,1.5593,-0.015618,1.3627,-0.013616,-0.10971,0.35079,0.086814,-0.003586,0.2258,0.43851,-0.000728,-0.000467,1.3062,0.56,-0.000359,0.17033,0.28915,-0.081129,0.7369,-0.073853,-0.05678,0.83691,0.33198,0.75721,1.2088,-0.000742,-0.050487,0.59637,0
174,0.086845,0.5514,0.22393,0.16838,1.1089,0.31272,0.063915,1.8136,0.058845,1.9421,0.03685,0.24689,0.39298,0.17917,0.63845,0.67328,0.13741,0.24607,0.13568,2.4114,0.50091,0.057573,0.52078,0.12279,0.51335,1.1235,0.12373,0.052503,1.2104,0.20867,1.1815,1.506,0.098239,0.22099,0.27465,0
176,0.15732,0.31131,0.45643,0.38634,1.2034,0.69562,0.20074,3.2123,0.15896,1.1971,0.12644,0.4885,0.66248,0.6723,2.0259,1.7605,0.24485,0.6728,0.20945,1.2493,0.68947,0.16835,0.03624,0.03915,0.56049,1.6182,0.15747,0.12657,2.3795,0.275,2.5553,2.6594,0.16902,0.23747,0.04075,0
178,0.021612,0.27966,0.17891,0.095306,1.0239,0.074317,0.068217,3.5758,0.014311,0.96725,0.014945,0.074436,0.68981,0.35602,0.25979,0.32972,0.14506,0.13119,0.03669,1.4739,0.69101,0.025372,0.25701,0.0802,0.13704,1.0762,-0.041262,-0.028534,1.6355,0.19718,1.2713,1.2735,0.023384,0.03133,0.001733,0
179,0.028803,0.84343,0.054742,-0.24615,0.8994,0.059938,0.045421,1.1856,0.015257,0.45142,0.015257,-0.24615,0.1215,0.10167,0.046143,0.1178,0.39984,0.011484,0.009686,2.2208,0.48438,0.00513,0.1882,0.41615,0.11658,0.59979,-0.047262,-0.025034,0.63466,0.22893,0.26145,1.0423,-0.11186,0.23706,0.1599,0
182,0.14273,0.37092,0.16086,0.37531,1.111,0.48823,0.13564,2.696,0.097753,1.1805,0.077543,0.47608,0.60407,0.57282,1.0716,0.34183,0.19701,0.47862,0.17753,1.8583,0.60645,0.096449,0.055125,0.049317,0.58908,0.77904,0.10779,0.058562,1.4273,0.22245,1.2836,1.2887,0.099931,0.23629,0.003941,0
185,0.023729,0.38453,0.36189,0.17643,1.0275,0.09731,0.040052,2.6006,0.018203,1.0884,0.014401,0.22993,0.6016,0.15533,0.19285,1.097,0.2088,0.080423,0.030925,1.6772,0.67789,0.018768,0.13431,0.1889,0.25203,1.8686,-0.005076,-0.003081,1.7427,0.19222,1.8237,2.055,0.026795,0.039443,0.12682,0
188,0.1733,0.55635,0.30858,0.45359,1.0772,0.32001,0.072527,1.7974,0.067971,1.2088,0.067971,0.45359,0.42389,0.33238,0.78209,2.059,0.21293,0.33273,0.18511,2.5521,0.43868,0.072602,0.039845,0.092975,0.50638,0.93784,0.17349,0.068046,1.5281,0.22881,2.8284,2.9271,0.071695,0.40884,0.034892,0
201,0.062512,0.35216,0.22388,0.21921,1.0451,0.23423,0.055132,2.8396,0.039241,1.1826,0.029883,0.28812,0.6114,0.2719,0.38647,0.52597,0.1456,0.21965,0.077354,2.1015,0.6131,0.036978,0.14378,0.10469,0.47404,1.2625,0.044111,0.021087,1.6309,0.17509,1.4364,1.4404,0.043188,0.10225,0.002781,0
202,0.1245,0.46146,0.29058,0.3127,1.1438,0.68312,0.13974,2.167,0.12357,1.1288,0.10027,0.3923,0.53734,0.31329,1.4077,0.59937,0.36539,0.33115,0.15281,1.2491,0.7742,0.12308,0.048794,0.087752,0.43483,1.019,0.13274,0.10691,1.1164,0.2069,1.1083,1.5969,0.1257,0.23169,0.4408,0
203,-0.10409,0.72414,-0.023869,-0.005766,0.73572,-0.20392,-0.11159,1.3809,-0.16511,0.90452,-0.14148,0.0,0.23409,-0.089364,-0.83871,-0.055748,0.98426,0.96594,0.14449,0.73572,0.31584,0.19639,0.2933,-1.1499,-0.48002,0.59592,-0.09975,-0.13558,0.78968,0.85165,0.64429,0.73768,0.19639,-0.37734,0.14494,0
204,0.13841,0.60338,0.16742,0.22314,1.096,0.29417,0.085525,1.6573,0.072085,1.2672,0.059921,0.27377,0.39276,0.28084,0.83055,0.62804,0.26083,0.2901,0.17504,2.3174,0.43013,0.075782,0.008435,0.096256,0.55326,0.85381,0.144,0.062341,1.2155,0.26856,1.4733,1.6135,0.087574,0.3524,0.095168,0
205,0.20691,0.41595,0.20973,0.55912,1.1856,0.94624,0.16017,2.4042,0.14515,1.118,0.11595,0.70058,0.50103,0.56189,1.8244,0.40604,0.22426,0.66018,0.2746,1.7913,0.64324,0.15388,0.063408,0.045371,2.2391,1.4286,0.24779,0.13886,1.1623,0.18187,0.96999,1.2453,0.15654,0.41297,0.28383,0
206,0.073767,0.23613,0.36882,0.20601,1.0682,0.44729,0.089872,4.235,0.051418,1.1454499999999999,0.041023,0.26207,0.73698,0.60524,0.65454,0.8689,0.12603,0.46664,0.11019,1.8136,0.7664,0.061276,0.087913,0.043289,0.18979,0.90392,0.041039,0.022822,2.4374,0.12279,1.7362,1.8055,0.063824,0.10009,0.039913,0
209,0.10035,0.65127,0.082436,0.23856,1.0763,0.25789,0.23194,1.5355,0.078982,1.1108,0.062751,0.29614,0.33909,0.52964,1.1037,0.19269,0.29679,0.25178,0.16397,1.6516,0.50061,0.10254,0.38268,0.052407,2.9262,1.0983,-0.080619,-0.050415,0.87857,0.32965,0.79262,1.1702,0.070924,0.29592,0.47632,0
211,0.25443,0.36013,0.40758,0.43498,1.1813,0.86745,0.17036,2.7768,0.15816,1.295,0.12974,0.54142,0.49465,0.77293,1.8054,1.7353,0.11349,0.83221,0.2997,1.9871,0.49722,0.15283,0.41003,0.036585,1.3862,1.6266,0.27578,0.14063,2.1246,0.21539,2.1061,2.117,0.15347,0.51436,0.005193,0
216,0.1642,0.48805,0.39308,0.43176,1.1832,1.3034,0.21183,2.049,0.17194,1.2267,0.13793,0.53858,0.47076,0.43375,1.8553,0.87373,0.4074,0.38248,0.18667,1.2389,0.80177,0.15681,0.027474,0.068523,0.58654,1.7204,0.13918,0.11691,1.1272,0.15609,1.0464,1.7822,0.15482,0.3488,0.70314,0
217,0.1828,0.16121,0.45079,0.41858,1.1528,1.4422,0.25669,6.203,0.21388,1.1001,0.17495,0.52013,0.77789,1.4114,2.4429,1.1434,0.03811,1.3734,0.22141,1.1385,0.78415,0.21191,0.79446,0.019915,0.83287,2.4928,0.17668,0.1691,3.7574,0.17096,1.973,1.9889,0.13255,0.23499,0.008051,0
220,0.12606,0.40354,0.20939,0.23674,1.0812,0.40902,0.082514,2.4781,0.061612,1.4603,0.049907,0.29449,0.59646,0.44322,0.74502,0.51056,0.15951,0.4313,0.17405,2.5273,0.61952,0.068905,0.055137,0.058485,0.4012,0.72453,0.12125,0.048003,1.4618,0.16287,1.4543,1.5106,0.075124,0.21134,0.038656,0
224,-0.013109,0.89386,-0.15314,-0.12265,0.94011,-0.032944,0.015361,1.1187,-0.018058,2.4798,-0.008071,-0.13887,0.068022,0.046064,-0.71312,-0.58283,0.54533,-0.13785,-0.12321,1.7361,0.071496,-0.075856,0.010675,-0.42633,-0.032148,0.37003,-0.1775,-0.10927,0.82479,0.51533,0.25889,0.27211,-0.06371,-0.19272,0.051068,0
225,0.050757,0.26632,0.24938,0.17703,0.92853,0.23207,0.094231,3.7549,0.055822,1.1443,0.046447,0.15699,0.64901,0.34819,0.49295,0.51128,0.12803,0.21784,0.058016,1.2537,0.65247,0.053089,0.5376,0.087568,0.41418,1.4825,0.016043,0.014681,1.9234,0.22335,1.3306,1.3377,-0.07697,0.078207,0.005333,0
226,0.08574,0.27121,0.30362,0.27318,0.8576,0.42441,0.1445,3.6871,0.090711,1.0854,0.073971,0.31281,0.57424,0.54601,0.80793,0.67675,0.15571,0.40263,0.1092,1.4683,0.59771,0.094208,0.37825,0.051979,0.38342,1.3229,0.046853,0.040421,2.0329,0.1833,1.2799,1.3323,-0.16604,0.14931,0.040876,0
227,0.10618,0.37985,0.39401,0.15649,1.0382,0.36723,0.073169,2.6326,0.060953,1.0886,0.047367,0.18392,0.48131,0.35162,0.60414,1.6844,0.12916,0.34341,0.13045,2.3101,0.48909,0.058192,0.81081,0.079125,3.0593,1.9657,0.10306,0.045976,2.0168,0.17232,2.0576,2.0908,0.036789,0.22061,0.016173,0
231,0.072307,0.93592,0.3075,0.16638,1.0515,0.5432,0.10641,1.0685,0.042105,1.3747,0.040892,0.16992,0.037306,0.19874,0.42902,0.55362,0.48938,0.077085,0.072146,1.7713,0.83617,0.040801,0.58996,0.16557,0.66415,2.4492,-0.041556,-0.023501,0.475,0.081505,0.067166,1.5054,0.048989,1.9382,0.1599,0
232,0.035942,0.30725,0.1173,0.28004,1.002,0.24606,0.068254,3.2547,0.044302,0.92768,0.024857,0.37984,0.60168,0.2297,0.49023,0.18848,0.2026,0.23024,0.070742,1.5644,0.64859,0.048924,0.067556,0.095861,0.25315,0.9052,0.036109,0.024973,1.2291,0.18041,0.96677,1.0421,0.002008,0.059736,0.077965,0
233,0.1062,0.60577,-0.033935,0.3354,0.98617,0.18826,0.11998,1.6508,0.08822,0.9061,0.08822,0.3354,0.2772,0.23843,0.88897,-0.07223,0.36872,0.17914,0.10852,1.4214,0.31886,0.090144,0.2988,0.13571,40.533,0.9352,0.070288,0.058386,0.87522,0.46212,0.59003,0.67869,-0.014025,0.38312,0.15026,0
239,0.086231,0.31793,0.64058,0.49573,1.1012,0.34562,0.061003,3.1454,0.056062,1.0461,0.044166,0.55127,0.6363,0.30156,1.0577,0.25904499999999997,0.045443,0.58985,0.18753,1.9812,0.63754,0.096052,0.96029,0.05301,0.40353,2.3479,0.17789,0.091111,3.011,0.17862,14.891,14.919,0.091887,0.13552,0.001942,0
241,0.048442,0.2066,0.56868,0.15303,1.0591,0.28791,0.079702,4.8402,0.044767,0.90952,0.03724,0.19385,0.79249,0.45442,0.61234,2.4827,0.02325,0.36403,0.075209,1.3076,0.79683,0.057817,1.0072,0.056298,0.17436,2.438,0.029766,0.022883,3.7315,0.16468,3.4598,3.4788,0.055799,0.061126,0.005477,0
